address,valid_mints,overflow_zec,zero_holder
t1P6zRufb4LWSiveBq64tyK1W44yfKFPT6r,50,0,false
t1PfRE4Ykxpgd5AVGoMkBfidme6xaWgLNtX,50,0,false
t1PLr7Emfb4ptJr3yDGkxtVVcX88ViPczBg,50,0,true
t1eqQgBFKchzyt7V8YNeVYFabaNjy2cBLLq,50,0,false
t1N9vKJSQqPvji45DBmSYqBF3oms6eFZBAV,50,0,false
t1UijcPnDrZgCmQLg67Y8LD8XaiLbijq9ku,50,0,false
t1WDk8FTmQhUtJTPQoFtehpxuNLkFUVYSPm,50,0,true
t1e715t2y96NAPzQMAhB6Va2cyELCrAYxTx,50,0,true
t1UqgXtp2u4BzwoA5pS9bA2AAyvpterRbkK,50,0,false
t1QR5zVA26etioVWiaHFuqv2Ay8D9jLTdan,50,0,true
t1PrTn5aMGFA4HstZf1LtDKuq52kCjyJFX6,50,0,false
t1fWm4JXmdzAnommXc9AHToRfGcwJmyVHxd,50,0,false
t1QPEcLgkHMw4XgK2V6KAiXUmHJF5PEhox1,50,0,true
t1NvEUzT6VCr9tM2P2XD1gXDBnWyo6rRD39,50,0,false
t1cUfbLk8osiMwLFkPnt815kcsLLNJqETWk,50,0,false
t1SjbAodtmts94hhNDm1G6GsXS9r56r3Fmi,50,0,false
t1ZvFc8Q8RiTdcMiYfuo4K1SyTbF7FGtGGS,50,0,false
t1PLZELR9UEhaTSdZM1kB57WZ8BND9p1HdL,50,0,false
t1Sn6q8WBUC1a2S7TJDBJZCqCTi8uqutSeq,50,0,false
t1UGNMMfGvei3pRgChYnzyHUgD5qYsjPdcD,50,0,false
t1NMCjpeuQAB3Ghpbqpfzg7xypW3tH4Krnp,50,0,false
t1XKb2Xu5CYTYRh46MgtxQe9RBuvcWMDXBW,50,0,false
t1bqZ7LCv5CA65pcubguiQdJfY4QhSvzBzz,50,0,false
t1d1phzJpRBFB6L3Z7BpoBKQdZJLaVRu3ZB,50,0,false
t1SWxDGRkWwzGzChaQrn1u8n5Sr6gSJTt11,50,0,false
t1RNjBKM81ui7zsY2z2udyi7BiL5XvjSpvh,50,0,false
t1WjYmzb8EKLEFe8JcxDXijVxwRbxYbMiG5,50,0,false
t1Rgw6g813bmZoYvyd37iAewNEy6hditZvQ,50,0,false
t1QbJUqt1hbqzrJjz9u4532oiTWEfqeMVtP,50,0,false
t1Px7HLraU7Co9LK3K81jCRnTNiLHrwGoXJ,50,0,false
t1cEuyKREaWGBzptq5B4crCJSwQGK3iwCVU,50,0,false
t1LcKeEa2rGmgAWZAfRVSYj5FnsBveJXUjp,50,0,false
t1UTwwsasLf2XHdAEc4hnfbEwkY6K9e6yQi,50,0,false
t1UmuzozKqrBtAKnbasCZnHnpQJ7dXixRVQ,50,0,false
t1RjXEctX3E63YdhaerxYyNQCK71mp117tY,50,0,false
t1aphFZZmcUJqHuENXL5odscmYV97Ti5dWv,50,0,false
t1SHGZr8CkNtLwVipc2UzkGF7H1QT4F6XFN,50,0,true
t1LaKAkMmJKy8LE5cmZNkgdVCvvTNRKac8A,50,0.25,true
t1gejwMprZ7dXGDQBAZqySn1gKrhUuZdsYW,50,0,false
t1Rg9y3Ljv39shodbzUKv7Ywn4fzVzB453B,50,0,true
t1Uivww7gQciDUbcNPQEqTMnAKpBCWJpQzG,50,0,false
t1b39dQxZpYeU97Nk4MsscpirVMEAxuXiBU,50,0,false
t1JDsFJFC6Ydm63JVp9JTMyKDxYYxrRtqeK,50,0,false
t1g3x1rcXNzWKuAtM9qnQUKMLsHh3AcMWsb,50,0,false
t1JaJySetfBv2Z8HaU9jBfS1aRUpudfVLxM,50,0,false
t1XsMhJDmJW2JSrzebdJL8VpoB5AQeiKt2L,50,0,true
t1dM5fkRrTUGzGqZfTPGHGvXPBhKoWnf2sM,50,0,false
t1XM9qRwDQkotaM1uaiuMNNpFEtQK4YxiCM,50,0,false
t1K6zLQeMuUuH7y2TZMnybQTkzTmZt4Kz5z,50,0,false
t1Sbpv6qNM7SiAPN3z4t3sEzq4qiNLUWWKG,50,0,false
t1M6PPksmrSqBSwXFeN4gmMtRGFNULxdg3h,50,0,false
t1eZZad5kSLGj8M8n7JnCqbWPfQm3DQ2Gg2,50,0,false
t1UNWjTAWASKho5R51ePLqz1KpRL6V1rQni,50,0,true
t1LijYvLKaeH8P4hMpTbtUM1UuFcksddxP8,50,0,false
t1bsspk21sc8FZLcD1aZj646JzuzSPYtaKQ,50,0,false
t1MeSGayNa3UXEwaKpUyHh464VYFfVTcHVV,50,0,false
t1Rn9tWhETR1QoRnGpSRi97ELjayMKuz6eZ,50,0,false
t1RMhSwkZUcw9ub1oWUGgJwV6LbrvBFXCZV,50,0,true
t1UUk2BymjK2L6VYopDKrWL8ELHeN6wkVwv,50,0,false
t1UwHgYcnxRUF62kfEa3wEFUeTqLaHxttqv,50,0,false
t1eyBnvrqpkww85E7XUgqunSh6ZguyTu6K3,50,0,false
t1cyFVFKoEncK1Juchh5qqFua6Erem4M79w,50,0,false
t1TM4UKZtTcLqBiUs6oQzhbb5wLA9Soo3ii,50,0,false
t1Lz7kt1DuYAhMqzCuXP8jVRCvy1Ps6So6e,50,0,false
t1c8PmwHXH9DqcWsvSXGiZ2Chte2NvDh3Ex,50,0.04146,false
t1MpEXNn1CMr3dzaqCf78U63o4dfEVQuj5i,49,0,false
t1UaVNi5rHiec4Gu4c5AinDymN1L2HWuB9X,49,0,false
t1aKeHqAVGfMXRKot9iR3WGKFddkPvciptt,49,0,false
t1QuNYSptKw1JVmV2aBfVLJusTMikYbvfiY,46,0,true
t1gRaxofYci6ChQQ22veHFy2RN9maj2rdNt,45,0,false
t1QVUdMFqEqMQgXTb2Q5JTdSRwAE7xR4CcF,43,0,false
t1KhHGjrUCrRbn1jhnLz8iBmTok9TpidFUi,42,0,true
t1c9zdg3aMoCc9XWk4s522bP5C9ye5X4D6P,40,0,false
t1WwE8mf17ryho7niZ6wLHriaXac5f8qYMi,40,0,true
t1gFXPMbRdeoHuwRzCrMs99tGhJuw7fufyu,40,0,false
t1QYFEWBCkPQY1Q8ck5f5g2YV69uRGDTdAB,40,0,true
t1JuBEugVahfbF2BLZaFWGkwGhUoXpVtS2Z,40,0,true
t1LpCG9HGenGTdbWuGQoJGbsDsTfTX5ERX6,40,0,true
t1aNdD8sRhKYWjgMfbpeqP4M18UBYEzURXN,40,0,false
t1NeCjR4Exq6KSBji3tzs4HjSoQcDKn9C7y,40,0,false
t1fgYsEsuY8U248AdMtT2rqWyWTGBWGjWMi,40,0,false
t1hArykyJFctqhcswKwoBfnqYDrtPYbCUsz,40,0,true
t1fRrYX2wGoLMYnA5SxpM2pkY9M1dE5YWar,40,0,false
t1Sg7TeEA9TKjYMwsfFeQ3AqyCZDvPKnsny,40,0,true
t1TmtFDgWQXtxoqrNvmosA6kadKAYg4Kf8N,39,0,false
t1aCkJtWvBSfGafminnbMNEeGDypV9G3GcA,36,0,false
t1LZi24JYDJzSFiB29WpM2JVP83KwLnkCRb,31,0,true
t1fDtA8dVjokvjh6iHZwu6vKHepFKS9Ay9a,30,0,true
t1WmGfFiAUhM7A7YNhWr3z4gukbVAYVTaL4,30,0,false
t1Vab4k1a2ydvnWFMn2Nt5sjmgeamBvnDrZ,30,0,true
t1V4gDL2iVXpgoL6vctiGER1dAW97tTF7JA,30,0,true
t1NmHms7mHuMHtNevpM8mFWJSPSMHU15Xqr,30,0,false
t1RivrNi4iFXjXgjCn8ZU5kQQf5s3omngkL,30,0,false
t1PwBcvk3MTLxLWBQsdKjvv3wLBw58tYn3p,30,0,true
t1XZzv9ApFAQ5YpoEkiEGWcq2tuf4vR1g2a,30,0,false
t1T51bJ95g1Qrj6sQxNWgukmqAcDghK375t,30,0,false
t1QuPqTxgLGNcBo4mSUEgxdvJMbyuNvPTdb,29,0,false
t1HwgAAWc9KQthHZVUoLGDgUhmJDKMoD6Xa,25,0,false
t1gfd6wyZz6u1WqDQwW5aHhz349hqHsvAv1,25,0,true
t1a2wYUdG1a3g9uA8Tj1VK5WqTJwZRvcp2F,25,0,true
t1XkWkaZjVuWm3jQBn9jpH1r69DUWaJdTmW,24,0,false
t1bZL1AsAtjJcPee5t3hsQdMpvHw39rmzAn,23,0,false
